"","INDEX","TARGET_FLAG","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","PARENT1","HOME_VAL","MSTATUS","SEX","EDUCATION","JOB","TRAVTIME","CAR_USE","BLUEBOOK","TIF","CAR_TYPE","RED_CAR","OLDCLAIM","CLM_FREQ","REVOKED","MVR_PTS","CAR_AGE","URBANICITY"
"240",240,1,NA,1,36,1,14,1244,1,949,2,1,1,2,54,1,961,3,4,1,746,3,2,6,10,2
"241",241,0,NA,1,18,1,11,896,1,1,1,2,2,3,32,2,395,3,1,2,1,1,1,1,2,1
"242",242,0,NA,1,18,1,12,1594,1,1217,2,1,3,6,37,2,1204,3,5,1,1,1,1,3,13,2
"243",243,1,NA,3,39,3,18,358,2,370,1,2,1,3,42,2,323,1,1,2,45,2,1,4,2,2
"244",244,1,NA,1,23,1,12,775,1,911,2,2,3,1,36,1,966,2,6,2,1,1,1,3,16,2
"245",245,0,NA,1,34,1,6,1392,1,1,1,2,1,8,26,2,602,2,1,1,376,2,1,1,10,2
"246",246,1,NA,1,31,1,1,1,1,1,1,1,2,9,1,2,269,1,5,1,1,1,1,3,2,2
"247",247,1,NA,1,20,3,14,430,1,336,2,1,3,6,28,2,384,3,5,1,237,4,1,4,23,2
"248",248,1,NA,2,20,3,11,415,1,249,2,1,2,3,29,2,224,5,4,1,1,1,1,2,9,2
"249",249,0,NA,1,22,1,14,190,1,1,1,1,2,3,7,2,169,5,5,1,1,1,1,1,2,1
"250",250,1,NA,1,22,1,11,423,1,1,1,2,2,3,26,2,236,5,1,2,795,3,2,6,14,2
"251",251,1,NA,1,20,5,1,1,1,5,2,1,2,5,1,2,92,1,4,1,327,2,1,7,8,2
"252",252,1,NA,1,33,1,13,338,1,1,1,2,2,2,21,2,278,1,3,1,721,3,2,2,7,2
"253",253,0,NA,2,40,2,14,831,1,710,2,1,1,8,37,2,1370,5,1,1,1,1,1,1,12,2
"254",254,1,NA,1,28,1,15,877,1,786,2,2,1,3,47,1,434,5,3,2,1,1,1,2,8,2
"255",255,1,NA,1,38,1,1,1,1,1,1,1,4,5,32,2,22,3,5,1,1,1,1,1,13,2
"256",256,1,NA,1,46,1,15,794,1,631,2,1,4,4,14,2,199,1,4,1,675,4,1,6,2,2
"257",257,0,NA,1,30,1,11,706,1,525,2,2,2,3,4,2,309,9,3,1,1,1,1,2,9,2
"258",258,1,NA,1,27,1,13,721,1,1,1,1,1,8,25,2,808,10,5,1,462,2,1,6,16,2
"259",259,1,NA,2,37,2,1,1,1,1,2,1,1,9,33,2,363,1,4,1,385,4,1,2,9,2
"260",260,0,NA,2,26,4,12,356,2,1,1,2,2,3,27,2,695,3,1,1,1,1,1,2,10,1
"261",261,0,NA,1,32,1,12,279,1,1,1,1,2,3,21,2,248,6,4,1,1,1,1,1,2,1
"262",262,0,NA,1,22,1,14,762,1,216,2,2,2,7,30,1,1107,9,2,2,1,1,1,1,8,2
"263",263,1,NA,1,41,1,13,966,1,738,2,1,3,6,45,2,27,9,5,1,1,1,1,3,10,2
"264",264,0,NA,1,24,4,16,947,1,523,2,1,2,8,34,2,892,2,1,1,1,1,1,4,7,2
"265",265,1,NA,1,23,1,14,1289,1,971,2,1,3,6,28,2,869,5,1,1,1,1,2,6,16,2
"266",266,0,NA,1,22,1,14,795,1,580,2,2,3,6,33,2,666,1,1,1,1,1,1,1,18,2
"267",267,0,NA,1,26,1,13,1396,1,1137,2,1,3,6,48,2,979,5,5,1,656,2,1,1,20,2
"268",268,0,NA,1,34,1,18,745,1,687,2,1,2,8,35,2,1122,1,1,1,1,1,1,1,11,2
"269",269,1,NA,1,22,1,15,375,1,1,1,2,2,3,46,1,859,1,6,2,1,1,2,6,2,2
"270",270,1,NA,1,6,6,15,103,1,134,2,1,2,3,22,2,69,5,4,1,1,1,1,5,2,2
"271",271,1,NA,1,33,1,14,990,1,1,1,1,2,2,32,1,567,5,5,1,1,1,1,2,11,2
"272",272,0,NA,1,23,1,15,1379,1,1115,1,1,3,6,31,2,1221,6,1,1,1,1,1,1,15,2
"273",273,1,NA,1,28,1,15,760,1,771,1,1,2,3,37,2,838,5,5,1,1,1,1,1,2,2
"274",274,1,NA,1,13,3,15,1532,2,1,1,2,3,1,48,1,882,5,6,2,772,3,2,1,18,2
"275",275,0,NA,1,37,1,11,718,1,765,1,2,3,6,36,2,862,12,6,1,1,1,1,1,14,2
"276",276,1,NA,1,36,1,13,1567,1,1277,1,2,4,1,1,1,1222,3,2,1,67,3,1,5,13,2
"277",277,1,NA,3,28,4,18,1152,2,1,1,1,3,6,60,2,891,9,5,1,1,1,1,6,15,2
"278",278,0,NA,1,12,2,15,148,1,1,2,1,2,9,24,2,1281,3,3,1,437,3,1,1,2,2
"279",279,1,NA,1,12,3,15,687,1,339,2,1,2,2,7,1,976,3,5,1,1,1,1,1,2,2
"280",280,0,NA,1,31,1,13,772,1,1,1,1,2,8,1,2,412,6,5,1,1,1,1,1,8,2
"281",281,1,NA,1,28,2,13,1788,2,1389,1,2,4,4,20,2,632,1,1,2,726,3,2,5,21,2
"282",282,1,NA,1,40,1,12,1556,1,1,1,2,4,1,22,1,1207,3,2,1,740,3,1,1,14,2
"283",283,1,NA,1,18,2,13,140,1,158,2,1,2,3,2,2,130,19,4,1,526,3,1,6,5,2
"284",284,1,NA,1,17,1,10,421,1,161,2,1,2,3,59,2,561,4,5,1,1,1,1,3,8,2
"285",285,1,NA,1,33,1,1,1,1,64,2,1,1,9,27,1,129,12,5,1,609,2,1,3,8,2
"286",286,1,NA,2,40,2,15,631,1,410,2,2,2,8,19,1,167,3,3,2,340,3,1,1,6,2
"287",287,0,NA,1,37,1,14,1219,1,1139,2,2,1,2,68,1,1208,1,1,2,1,1,1,1,14,1
"288",288,1,NA,1,48,1,16,254,1,224,2,1,2,3,10,2,419,8,4,1,774,2,2,1,2,2
"289",289,1,NA,1,27,1,12,984,1,1,1,2,3,8,38,2,99,1,3,2,1,1,2,1,19,2
"290",290,1,NA,1,35,1,12,1258,1,1055,2,1,2,2,52,1,140,1,5,1,274,4,1,7,2,2
"291",291,1,NA,2,45,2,3,863,1,901,2,1,3,6,12,2,680,3,4,1,654,2,1,7,15,2
"292",292,0,NA,1,29,1,10,209,1,1,2,2,2,9,10,2,176,6,3,2,1,1,1,1,2,2
"293",293,0,NA,1,21,2,1,1,1,1,2,1,2,9,13,2,98,5,5,1,351,2,1,7,9,1
"294",294,1,NA,1,21,1,5,247,1,387,2,2,2,3,28,1,186,5,3,2,620,2,1,3,7,2
"295",295,0,NA,3,27,3,14,1718,2,1324,1,1,3,6,75,2,1359,3,1,1,1,1,1,2,13,1
"296",296,1,NA,2,20,2,8,175,1,248,2,1,2,3,47,2,295,5,5,1,1,1,1,1,2,2
"297",297,1,NA,1,40,1,13,1073,1,816,2,2,1,2,11,1,848,7,6,1,142,2,1,2,12,2
"298",298,1,NA,1,28,3,16,580,2,1,1,1,2,8,21,2,770,13,4,1,516,4,1,4,2,2
"299",299,0,NA,1,36,1,7,927,1,723,2,2,4,7,20,2,634,2,1,1,1,1,2,1,14,2
"300",300,1,NA,1,25,2,8,1672,2,1,1,1,4,7,25,2,31,9,5,1,636,2,1,6,15,2
"301",301,1,NA,1,29,1,12,691,1,897,2,2,2,2,20,1,1047,3,2,1,1,1,1,1,2,2
"302",302,0,NA,1,32,1,1,1,1,1,1,1,1,5,19,2,125,5,4,1,1,1,1,2,9,1
"303",303,1,NA,1,33,1,15,608,1,641,2,2,2,2,15,1,85,6,3,1,1,1,1,1,2,2
"304",304,1,NA,2,27,3,3,1071,2,805,1,1,3,7,28,2,1148,5,4,1,827,2,2,7,19,2
"305",305,1,NA,1,24,2,15,12,2,1,1,1,2,9,9,2,97,10,4,1,588,3,1,1,7,2
"306",306,1,NA,1,25,1,1,1,1,1,2,2,1,9,9,1,92,9,3,1,1,1,1,6,2,2
"307",307,0,NA,1,33,1,13,1611,1,1,1,2,3,6,39,2,590,5,1,2,1,1,1,1,2,2
"308",308,1,NA,1,26,3,1,1,1,166,2,1,2,5,40,2,94,5,4,1,336,2,1,4,7,2
"309",309,0,NA,1,31,1,11,1254,1,1068,2,1,2,2,43,1,793,17,3,1,1,1,1,1,2,1
"310",310,1,NA,1,27,1,12,196,1,1,1,2,4,6,20,2,966,2,6,1,1,1,1,2,13,2
"311",311,1,NA,1,19,3,14,211,2,1372,1,2,2,3,13,2,378,5,3,2,542,3,1,10,2,2
"312",312,1,NA,1,20,4,1,1,1,1,2,1,2,5,13,2,187,4,5,1,517,3,1,1,8,2
"313",313,0,NA,1,41,1,15,887,1,955,2,1,1,8,27,2,705,8,1,1,1,1,1,1,2,2
"314",314,1,NA,3,21,3,12,416,2,1,1,2,2,3,23,1,230,1,3,1,617,4,1,3,7,2
"315",315,1,NA,1,36,1,15,1496,1,1189,2,1,2,2,16,1,1191,5,5,1,1,1,1,3,2,2
"316",316,0,NA,3,22,3,8,938,1,583,2,1,3,6,28,2,861,12,1,1,181,2,1,3,16,2
"317",317,1,NA,1,50,1,14,690,1,617,2,2,1,8,29,2,798,3,5,2,1,1,2,1,14,2
"318",318,0,NA,1,19,1,10,144,1,108,2,2,2,3,7,2,808,11,1,2,37,3,1,2,7,2
"319",319,1,NA,1,18,1,11,813,1,1,1,2,2,8,31,2,335,5,3,2,813,3,2,6,9,2
"320",320,0,NA,1,24,1,11,1348,1,1003,2,2,1,2,35,1,617,1,1,1,1,1,1,1,12,1
"321",321,1,NA,1,8,2,12,1023,1,670,2,2,4,1,38,2,678,1,1,2,742,3,2,1,21,2
"322",322,1,NA,2,19,3,15,229,1,195,2,2,2,3,19,1,230,5,3,1,71,4,1,1,2,2
"323",323,1,NA,1,34,1,14,853,1,814,2,2,1,7,22,2,445,3,3,2,1,1,2,4,14,2
"324",324,1,NA,1,31,1,11,908,1,1052,2,2,3,1,15,1,137,3,3,2,1,1,1,3,16,2
"325",325,1,NA,1,31,1,12,847,1,802,2,1,2,3,25,2,443,1,4,1,728,4,2,8,2,2
"326",326,1,NA,1,21,1,13,996,1,506,1,1,3,6,51,2,567,9,5,1,664,4,1,6,19,2
"327",327,1,NA,1,32,1,1,1,1,1,1,1,1,9,1,1,380,3,5,1,202,3,1,6,11,2
"328",328,0,NA,1,27,4,16,883,1,373,2,1,3,6,43,2,1,9,4,1,1,1,1,1,17,2
"329",329,1,NA,1,16,2,12,702,2,1,1,1,2,2,32,2,864,3,5,1,1,1,1,1,9,2
"330",330,1,NA,1,42,1,12,1636,1,1222,2,1,1,2,23,1,1,12,4,1,618,3,1,1,7,2
"331",331,0,NA,1,33,1,13,1321,1,1004,2,1,1,8,13,2,1250,3,3,1,1,1,1,2,8,2
"332",332,0,NA,1,32,1,12,598,1,623,2,2,2,2,29,1,292,9,3,1,1,1,1,1,6,1
"333",333,1,NA,1,30,1,7,320,1,648,2,1,2,2,34,1,659,1,5,1,1,1,2,7,10,2
"334",334,0,NA,1,33,1,15,150,1,165,2,2,2,3,18,2,422,10,3,1,1,1,1,1,6,2
"335",335,1,NA,1,31,1,9,1480,1,1,1,2,1,7,75,2,676,10,1,1,637,4,1,10,9,2
"336",336,1,NA,3,22,3,14,1370,1,1145,2,2,1,8,46,2,617,1,1,2,467,4,1,3,2,2
"337",337,0,NA,1,33,1,13,1693,1,1,1,1,3,6,9,2,1341,1,4,1,1,1,1,1,17,2
"338",338,1,NA,1,30,1,11,685,1,1,1,1,2,8,39,2,671,2,3,1,1,1,2,1,2,2
"339",339,1,NA,1,40,1,15,1450,1,593,1,2,3,1,1,1,1270,3,2,2,1,1,1,1,15,2
"340",340,0,NA,1,38,1,15,80,1,89,1,1,1,5,34,2,155,5,5,1,1,1,1,4,11,1
"341",341,1,NA,2,25,4,8,1298,1,1018,2,2,1,2,41,1,92,1,3,2,401,4,1,2,15,2
"342",342,1,NA,1,6,5,10,46,1,34,2,1,2,2,10,1,1035,6,1,2,434,4,1,11,2,2
"343",343,1,NA,1,24,1,12,8,1,275,2,1,2,5,36,2,87,11,5,1,794,4,1,7,10,2
"344",344,1,NA,1,34,1,1,1,1,237,2,1,2,5,35,2,135,1,4,1,299,2,1,9,7,2
"345",345,0,NA,1,15,2,12,1687,1,1259,2,2,4,1,51,1,1096,1,2,2,1,1,1,1,15,1
"346",346,0,NA,1,24,1,13,202,1,277,2,2,2,3,7,1,87,6,3,1,1,1,1,1,2,1
"347",347,0,NA,1,41,1,12,1066,1,932,2,2,1,8,36,2,1059,5,1,1,1,1,2,1,13,2
"348",348,0,NA,1,42,1,16,1778,1,1366,2,1,4,4,32,2,1241,12,4,1,1,1,2,1,11,2
"349",349,0,NA,1,21,1,14,165,1,1,1,1,2,3,22,2,592,5,5,1,387,2,1,1,2,1
"350",350,0,NA,1,49,2,18,1338,1,1065,2,1,4,6,38,2,348,8,4,1,1,1,1,5,21,2
"351",351,0,NA,1,12,4,16,434,1,545,2,1,2,2,48,2,298,6,5,1,1,1,1,1,2,1
"352",352,1,NA,4,26,4,8,562,2,804,1,2,2,2,22,1,773,3,6,1,1,1,1,2,7,1
"353",353,1,NA,3,19,4,1,1,1,1,2,1,2,9,15,1,1077,5,3,1,762,4,2,7,2,2
"354",354,1,NA,2,22,4,15,1118,2,823,1,1,1,8,78,2,615,1,5,1,308,4,1,4,8,2
"355",355,0,NA,2,25,3,1,1,1,85,2,1,2,5,35,2,633,1,5,1,479,2,1,2,2,1
"356",356,1,NA,1,39,1,13,4,1,67,2,1,2,9,54,2,2,5,4,1,303,3,1,6,9,2
"357",357,1,NA,1,30,1,13,231,1,167,2,1,1,3,38,1,946,3,3,1,309,3,1,2,7,2
"358",358,1,NA,1,35,1,10,1542,1,1,1,2,4,6,11,2,807,1,6,2,1,1,1,1,11,2
"359",359,0,NA,1,41,1,13,1581,1,1312,2,1,4,4,8,2,873,3,1,1,1,1,1,3,15,2
"360",360,0,NA,1,32,1,13,1177,1,1212,2,1,3,6,42,2,959,11,5,1,1,1,1,1,15,2
"361",361,1,NA,1,16,2,9,1217,2,1,1,1,2,2,35,1,285,5,5,1,1,1,1,1,2,2
"362",362,1,NA,1,25,1,10,792,1,842,1,1,1,3,20,2,378,2,5,1,1,1,1,1,10,2
"363",363,0,NA,1,40,1,11,1632,1,1288,2,1,4,6,20,2,615,3,5,1,1,1,1,1,13,2
"364",364,1,NA,3,20,3,12,154,1,18,2,2,2,3,29,2,146,5,3,2,396,5,1,1,2,2
"365",365,1,NA,1,35,1,12,1754,1,1354,1,2,4,4,32,2,389,1,1,1,1,1,2,1,18,2
"366",366,1,NA,1,13,1,15,736,1,575,1,2,2,2,49,1,1290,12,1,1,200,3,1,5,8,2
"367",367,0,NA,1,13,3,14,204,1,78,2,1,3,8,35,2,128,14,5,1,1,1,1,1,10,2
"368",368,1,NA,1,38,1,10,1090,1,865,2,1,2,2,46,2,155,5,4,1,46,2,1,1,7,2
"369",369,0,NA,1,29,1,12,1233,1,884,2,1,2,2,44,1,1087,5,4,1,1,1,1,1,9,1
"370",370,1,NA,1,30,1,8,195,1,122,2,1,2,3,32,2,780,10,5,1,1,1,1,1,2,2
"371",371,1,NA,1,42,1,12,1636,1,1222,2,1,1,2,23,1,892,5,5,1,1,1,1,1,7,2
"372",372,1,NA,1,27,1,12,1343,1,1,1,2,4,1,7,1,1193,5,2,2,240,3,1,1,17,2
"373",373,1,NA,2,23,2,11,1634,2,1,1,1,3,1,14,1,1324,12,6,1,481,4,1,5,12,2
"374",374,1,NA,1,28,1,12,530,1,1,1,2,2,2,41,2,578,10,1,1,1,1,1,2,8,2
"375",375,0,NA,1,36,1,13,692,1,421,2,1,3,6,34,2,106,6,5,1,1,1,1,1,14,2
"376",376,1,NA,1,18,1,14,64,1,1,1,2,2,9,46,1,133,5,3,2,1,1,1,2,10,2
"377",377,0,NA,1,34,1,13,1800,1,1393,2,2,4,4,36,2,1376,3,1,2,1,1,1,1,17,2
"378",378,1,NA,1,35,1,12,1215,1,1,1,2,4,7,31,1,1066,8,2,1,1,1,1,4,9,2
"379",379,0,NA,1,34,1,9,1159,1,958,2,2,2,2,25,1,1331,1,2,2,1,1,1,1,11,1
"380",380,0,NA,3,26,3,15,1131,1,832,2,1,2,5,53,2,992,3,5,1,1,1,1,6,2,1
"381",381,0,NA,1,31,1,13,1621,1,1180,2,1,3,6,50,2,1261,10,3,1,1,1,1,5,16,2
"382",382,1,NA,1,8,2,13,169,2,148,1,1,2,2,5,2,285,13,5,1,1,1,1,1,7,2
"383",383,1,NA,1,38,1,14,873,1,678,2,2,2,8,22,1,1104,3,2,1,551,3,1,2,2,2
"384",384,1,NA,1,14,2,1,1,1,1,2,2,2,9,14,2,57,8,3,2,461,2,1,4,2,2
"385",385,0,NA,1,29,1,9,1182,1,604,2,2,3,7,31,2,558,3,1,2,1,1,1,4,15,2
"386",386,1,NA,1,48,1,15,1294,1,870,2,1,3,6,41,2,540,9,4,1,789,4,2,6,10,2
"387",387,1,NA,1,26,3,13,859,1,845,2,2,1,2,42,1,893,6,6,2,313,4,1,2,12,2
"388",388,0,NA,1,19,1,13,444,1,379,2,1,1,8,26,2,74,3,5,1,1,1,1,1,9,2
"389",389,0,NA,1,12,5,14,981,1,651,2,1,4,1,46,2,365,9,1,1,1,1,1,1,13,2
"390",390,1,NA,1,10,5,1,1,1,1,2,2,2,9,41,1,53,6,1,1,1,1,2,2,2,2
"391",391,1,NA,1,30,1,12,1742,1,1,1,2,4,1,19,1,1054,1,2,2,1,1,1,1,18,2
"392",392,0,NA,1,23,1,12,956,1,730,2,1,2,7,26,2,432,14,1,1,63,3,1,6,2,2
"393",393,1,NA,1,13,2,12,1206,1,963,2,1,3,1,35,2,282,3,5,1,55,2,1,2,17,2
"394",394,1,NA,1,25,1,3,472,1,411,2,2,2,3,34,1,1225,12,2,2,769,2,1,1,7,2
"395",395,0,NA,2,26,3,14,507,1,482,2,1,2,2,27,1,504,13,5,1,1,1,1,1,2,1
"396",396,1,NA,1,13,4,14,1085,1,591,2,1,1,2,39,1,538,1,5,1,1,1,1,3,10,2
"397",397,0,NA,1,30,1,13,1507,1,1157,2,1,1,8,17,2,1172,8,5,1,1,1,1,2,2,2
"398",398,1,NA,2,28,2,18,1019,1,667,2,1,3,6,46,2,619,1,5,1,233,3,1,1,14,2
"399",399,1,NA,2,24,3,15,686,1,612,2,2,2,2,1,1,694,1,1,2,589,3,1,1,2,2
"400",400,1,NA,1,13,3,9,172,2,1,1,2,2,3,49,1,116,1,3,2,1,1,2,1,2,1
"401",401,1,NA,1,21,1,10,584,1,239,2,1,1,3,39,2,1240,2,4,1,1,1,2,1,9,2
"402",402,0,NA,1,21,1,13,1204,1,1276,2,1,1,8,29,2,951,1,4,1,536,4,1,1,9,2
"403",403,0,NA,2,23,3,17,1290,1,1020,2,1,3,6,22,2,579,1,1,1,1,1,1,1,20,2
"404",404,0,NA,1,35,1,14,620,1,398,2,2,2,2,62,1,377,3,3,2,1,1,1,1,5,1
"405",405,0,NA,1,29,1,13,1643,1,1249,2,1,3,8,7,1,1136,5,3,1,1,1,1,1,13,2
"406",406,0,NA,1,27,1,13,661,1,162,2,1,3,6,28,2,341,1,4,1,1,1,1,1,12,2
"407",407,0,NA,1,26,1,12,277,1,1,1,1,1,5,1,2,211,1,1,1,1,1,1,1,13,1
"408",408,1,NA,1,27,1,5,1512,1,1,1,2,1,7,25,1,967,2,6,1,834,5,1,7,15,2
"409",409,0,NA,1,26,3,16,663,1,515,2,2,1,8,51,2,342,9,1,1,1,1,1,3,8,1
"410",410,0,NA,1,24,1,14,770,1,810,2,1,1,3,27,2,900,1,3,1,1,1,1,1,10,2
"411",411,0,NA,1,38,1,14,452,1,1,1,2,3,6,4,2,898,5,1,2,1,1,1,1,18,2
"412",412,1,NA,1,25,1,8,1193,1,1,1,1,2,2,35,1,452,1,5,1,1,1,2,1,6,2
"413",413,1,NA,1,35,1,14,1731,1,1,1,2,3,7,4,1,872,1,6,1,682,6,1,4,12,2
"414",414,0,NA,1,29,1,14,1744,1,1356,2,2,4,7,26,2,1089,1,1,1,1,1,1,1,16,2
"415",415,1,NA,1,23,2,12,387,1,178,2,2,2,3,1,1,284,1,3,1,1,1,2,2,3,2
"416",416,1,NA,1,40,3,1,1,1,46,2,1,1,5,10,2,1,5,5,1,592,4,1,2,6,2
"417",417,0,NA,1,42,1,12,587,1,614,2,1,1,5,9,1,969,6,3,1,1,1,1,2,11,1
"418",418,1,NA,1,21,3,15,902,2,607,1,1,1,8,18,2,74,9,4,1,419,3,1,1,18,2
"419",419,0,NA,2,21,3,14,912,1,685,2,2,1,2,20,2,1199,9,1,1,1,1,1,2,9,1
"420",420,1,NA,2,45,2,12,1050,1,1016,2,2,1,7,45,2,1277,1,5,2,1,1,1,1,2,2
"421",421,1,NA,1,34,1,1,1,1,1,1,1,1,5,29,2,49,3,4,1,1,1,1,6,10,2
"422",422,1,NA,1,33,1,9,241,1,345,2,2,2,2,38,1,810,1,6,1,365,3,1,6,2,2
"423",423,1,NA,1,20,4,16,1132,2,1,1,1,1,8,42,2,480,1,5,1,41,4,1,9,2,2
"424",424,0,NA,1,16,4,13,125,1,302,2,1,2,3,33,2,1337,9,5,1,1,1,1,5,7,1
"425",425,1,NA,1,26,1,1,1,1,85,2,1,2,5,28,2,612,1,1,1,601,4,1,1,13,2
"426",426,1,NA,1,25,1,13,34,1,1,2,1,2,9,19,2,110,11,5,1,338,4,1,6,2,2
"427",427,0,NA,1,23,2,12,1117,2,427,1,1,1,2,23,1,241,2,5,1,1,1,1,1,13,1
"428",428,1,NA,1,15,3,14,482,1,303,2,1,2,2,44,2,193,16,4,1,1,1,1,3,2,2
"429",429,1,NA,1,32,1,15,372,1,428,1,2,1,3,45,1,100,3,3,2,1,1,1,1,8,2
"430",430,1,NA,1,49,2,15,705,1,732,2,1,2,8,26,2,856,2,4,1,741,2,1,8,2,2
"431",431,1,NA,1,29,1,7,1489,1,1173,2,1,2,2,22,1,493,3,5,1,608,4,1,1,11,2
"432",432,0,NA,1,22,1,15,1739,1,1362,2,2,4,6,21,2,956,9,1,2,1,1,1,2,14,2
"433",433,0,NA,1,38,2,16,1057,1,853,2,1,1,2,68,1,965,8,1,1,1,1,1,1,13,1
"434",434,0,NA,2,23,3,15,246,1,204,2,2,2,2,29,2,188,5,1,2,1,1,1,1,2,1
"435",435,1,NA,1,29,1,14,281,1,309,2,2,3,6,40,2,417,1,3,2,515,3,1,5,19,2
"436",436,1,NA,2,24,3,11,1638,2,1,1,2,3,1,29,1,855,2,6,1,21,3,1,6,14,2
"437",437,0,NA,1,28,1,14,1575,1,1283,2,2,3,6,1,2,798,3,6,2,1,1,1,1,24,2
"438",438,0,NA,1,39,1,13,1763,1,1,1,2,4,4,27,2,1349,6,1,1,1,1,1,3,14,2
"439",439,1,NA,1,24,1,13,1172,1,900,2,1,1,7,33,2,264,1,5,1,445,3,1,5,4,2
"440",440,1,NA,1,29,1,11,1201,1,867,1,1,1,2,58,2,657,15,5,1,1,1,1,1,11,2
"441",441,0,NA,1,22,1,8,1678,1,1269,2,1,1,7,4,2,1272,1,3,1,1,1,1,1,14,2
"442",442,1,NA,1,36,1,13,568,1,567,2,2,1,2,25,1,367,5,1,1,1,1,1,1,2,2
"443",443,0,NA,1,28,1,14,1095,1,778,2,1,1,8,6,2,104,10,5,1,1,1,1,1,9,2
"444",444,0,NA,2,19,2,10,29,1,1,2,1,2,9,34,1,70,9,4,1,1,1,1,4,11,1
"445",445,0,NA,1,32,1,1,1,1,1,1,2,2,9,60,2,15,9,1,2,1,1,1,1,8,1
"446",446,0,NA,1,42,3,17,506,1,434,2,1,2,3,26,2,388,6,5,1,1,1,1,1,4,1
"447",447,0,NA,1,23,4,1,1,2,72,1,1,2,5,24,2,163,6,4,1,1,1,1,4,7,1
"448",448,1,NA,1,36,1,14,1769,1,1,1,1,4,7,32,2,1235,1,5,1,1,1,1,4,18,2
"449",449,1,NA,1,23,1,10,311,1,1,1,1,2,2,36,1,771,1,5,1,1,1,1,2,11,2
"450",450,1,NA,2,23,3,16,402,2,1,1,1,2,2,23,2,435,1,5,1,1,1,1,6,7,2
"451",451,0,NA,1,22,2,12,975,1,836,2,1,3,8,22,2,1251,5,3,1,1,1,1,1,2,2
"452",452,0,NA,1,40,1,15,999,1,921,2,2,1,8,34,2,634,6,1,2,255,2,1,8,12,2
"453",453,1,NA,1,33,1,14,1016,1,1,1,2,2,2,39,2,698,1,1,2,229,2,1,4,2,2
"454",454,1,NA,2,23,4,10,1627,1,1304,2,1,1,2,19,1,1076,10,1,1,1,1,1,3,10,2
"455",455,1,NA,1,29,1,11,518,1,1,1,1,1,9,69,1,492,13,5,1,1,1,1,1,9,2
"456",456,1,NA,1,34,1,12,807,1,1,1,2,2,2,37,2,649,3,1,2,756,2,2,6,8,2
"457",457,1,NA,1,18,4,12,1329,2,895,1,1,1,2,51,1,777,5,1,1,1,1,1,1,11,2
"458",458,1,NA,1,42,1,14,1020,1,593,1,1,2,2,38,1,711,3,3,1,316,4,1,12,2,2
"459",459,0,NA,1,37,1,13,1459,1,1141,1,2,4,7,14,2,599,3,1,1,1,1,1,1,16,2
"460",460,1,NA,1,18,3,1,1,1,33,2,1,2,9,25,2,111,9,4,1,641,2,1,1,2,2
"461",461,0,NA,1,38,1,10,626,1,616,2,2,2,3,24,1,400,5,3,1,1,1,1,1,7,1
"462",462,0,NA,1,37,1,16,751,1,592,2,1,1,2,37,1,1280,3,1,1,1,1,1,1,4,1
"463",463,0,NA,1,35,1,11,15,1,1,1,1,4,5,49,2,421,10,1,1,1,1,1,1,18,1
"464",464,1,NA,3,19,3,10,1083,1,863,2,2,1,2,45,2,39,3,1,2,197,3,1,1,8,2
"465",465,0,NA,1,40,1,14,1216,1,914,2,2,4,4,23,2,1211,5,1,2,1,1,1,4,16,2
"466",466,0,NA,1,28,1,7,1173,1,1075,1,2,3,6,22,2,661,1,1,2,1,1,1,1,20,2
"467",467,1,NA,2,25,4,12,945,2,1,1,2,2,3,33,2,442,2,3,2,483,4,1,6,2,2
"468",468,1,NA,1,12,2,1,1,1,1,2,1,2,5,38,2,384,1,5,1,1,1,2,1,2,2
"469",469,1,NA,1,30,1,12,722,1,444,2,2,3,6,32,2,386,9,3,1,1,1,2,1,17,2
"470",470,1,NA,1,29,1,12,1418,1,1,1,1,2,7,47,2,982,3,4,1,580,2,1,6,8,2
"471",471,0,NA,1,29,1,17,707,1,627,2,1,1,8,9,2,736,3,1,1,31,2,1,1,13,2
"472",472,1,NA,1,13,1,1,1,1,1,1,2,2,9,21,1,54,1,3,2,123,4,1,4,10,2
"473",473,0,NA,1,26,3,11,351,1,359,2,1,2,3,43,1,1380,5,2,2,1,1,2,1,7,1
"474",474,0,NA,1,20,1,13,766,1,1,1,1,2,3,25,2,163,5,5,1,1,1,1,1,2,1
"475",475,1,NA,1,40,1,12,1380,1,1,1,1,1,7,8,1,1245,5,3,1,511,3,1,6,14,2
"476",476,0,NA,1,34,1,13,1274,1,903,2,1,4,5,22,2,985,2,4,1,732,3,1,4,18,1
"477",477,1,NA,4,23,4,13,733,1,432,2,2,2,2,32,1,1175,1,2,1,199,2,1,1,6,2
"478",478,1,NA,1,15,3,13,579,2,1,1,1,2,2,30,2,78,3,5,1,716,4,2,6,2,2
"479",479,0,NA,1,29,1,7,487,1,571,2,1,2,3,10,2,233,1,5,1,724,4,1,2,7,1
"480",480,1,NA,2,21,2,7,302,1,150,2,1,2,3,48,2,179,6,5,1,1,1,1,1,2,2
"481",481,0,NA,1,33,1,13,1154,1,857,2,1,3,6,2,2,1028,1,1,1,1,1,1,1,16,2
"482",482,1,NA,1,32,1,12,1346,1,1,1,2,1,8,27,2,1,3,1,2,344,3,1,2,14,2
